"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Вал ч.F0083L342010","F0083L342010","ТАГМЕТ","5.000","3.8","нет","1,765.40","464.58","464.58","Валитов Рамиль Амирханович","18.01.2024, Выиграли","19","68,42"
"Вал шестерня ч.4306005-62.438","4306005-62.438","ТАГМЕТ","2.000","3.8","40Х","1,916.46","504.33","504.33","Валитов Рамиль Амирханович","21.02.2024, Выиграли","7.6",""
"Вал шестерня ч.4306005-62.438","4306005-62.438","ТАГМЕТ","2.000","3.8","40Х","1,920.00","505.26","505.26","Валитов Рамиль Амирханович","27.03.2024, Выиграли","15.2","60,53"
"Вал шестерня ч.4306005-62.438","4306005-62.438","ТАГМЕТ","2.000","3.8","40Х","2,555.27","672.44","672.44","Валитов Рамиль Амирханович","21.02.2024, Выиграли","7.6",""
"Вал промежуточной шестерни ZQ203-097 (01.02-05)","ZQ203-097 (01.02-05)","Октябрьское УБР","4.000","4","","380.00","95.00","95.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","16","35,00"
"Вал ч.П8745БМ.19.352","П8745БМ.19.352","КраМЗ","6.000","4","45","500.00","125.00","125.00","Зырянов Олег Юрьевич","12.03.2024, Выиграли","24","32,50"
"Вал шлицевой ZQ203-259 (01.03-21)","ZQ203-259 (01.03-21)","Октябрьское УБР","4.000","4","","380.00","95.00","95.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","16","47,50"
"Вал шестерня ч.ТО2-5-29/2","ТО2-5-29/2","СТЗ","","4.26","40Х","","","","","15.02.2023, Не участвовали","4.26",""
"Вал ч.ВК/9М-17.01.300.01","ВК/9М-17.01.300.01","СБМ Сервисный центр","11.000","4.5","45","21.00","4.67","4.67","Солнышкин Дмитрий Сергеевич","09.06.2025, Выиграли","49.5","1,61"
"Вал ч.ВК/9М-17.01.300.01","ВК/9М-17.01.300.01","СБМ Сервисный центр","12.000","4.5","45","26.67","5.93","5.93","Солнышкин Дмитрий Сергеевич","27.08.2025, Отказ от сделки","54","1,61"
"Вал ч.ВК/9М-17.01.300.01","ВК/9М-17.01.300.01","СБМ Сервисный центр","24.000","4.5","45","432.94","96.21","96.21","Солнышкин Дмитрий Сергеевич","20.01.2023, Выиграли","108","19,24"
"Вал ч.F0083L342013","F0083L342013","ТАГМЕТ","5.000","5.3","45","989.40","186.68","186.68","Валитов Рамиль Амирханович","18.01.2024, Выиграли","26.5","56,60"
"Вал ч.F0083L342014","F0083L342014","ТАГМЕТ","3.000","5.3","нет","989.40","186.68","186.68","Валитов Рамиль Амирханович","18.01.2024, Выиграли","15.9","56,60"
"Вал заканцовочный нижний ч.ВК/9М-17.01.700.01","ВК/9М-17.01.700.01","СБМ Сервисный центр","8.000","5.6","45","538.77","96.21","96.21","Солнышкин Дмитрий Сергеевич","20.01.2023, Выиграли","44.8","19,24"
"Вал заканцовочный нижний ч.ВК/9М-17.01.700.01","ВК/9М-17.01.700.01","СБМ Сервисный центр","9.000","5.6","45","23.00","4.11","4.11","Солнышкин Дмитрий Сергеевич","09.06.2025, Выиграли","50.4","1,29"
"Вал заканцовочный нижний ч.ВК/9М-17.01.700.01","ВК/9М-17.01.700.01","СБМ Сервисный центр","12.000","5.6","45","30.00","5.36","5.36","Солнышкин Дмитрий Сергеевич","27.08.2025, Отказ от сделки","67.2","1,29"
"Вал ч.Р-6069-03","Р-6069-03","ТАГМЕТ","2.000","5.7","45","1,122.92","197.00","197.00","Валитов Рамиль Амирханович","21.02.2024, Выиграли","11.4",""
"Вал ч.Р-6069-03","Р-6069-03","ТАГМЕТ","2.000","5.7","45","1,125.00","197.37","197.37","Валитов Рамиль Амирханович","27.03.2024, Выиграли","11.4","30,06"
"Вал ведущий ч.ZQ25-88 (ZQ25.1.5-1)","ZQ25-88 (ZQ25.1.5-1)","Октябрьское УБР","4.000","6","","750.00","125.00","125.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","24","65,00"
"Вал ч.Э-402191-5","Э-402191-5","ТАГМЕТ","10.000","6","40ХФА","7,150.00","1,191.67","1,191.67","Морев И.В.","13.06.2024, Проиграли","60","665,67"
"Вал ч.Э-402191-6","Э-402191-6","ТАГМЕТ","10.000","6","40ХФА","7,150.00","1,191.67","1,191.67","Морев И.В.","13.06.2024, Проиграли","60","665,67"
"Вал шестерня ч.ТО2-5-29/3","ТО2-5-29/3","СТЗ","","6.28","40Х","","","","","15.02.2023, Не участвовали","6.28",""
"Вал ч.F0083L342015","F0083L342015","ТАГМЕТ","2.000","6.8","45","1,358.00","199.71","199.71","Валитов Рамиль Амирханович","18.01.2024, Выиграли","13.6","51,47"
"Вал ч.Э-403064-8","Э-403064-8","ЧТПЗ","1.000","6.8","20Х17Н2","2,153.85","316.74","316.74","Омаров Сайпудин Мурадович","23.04.2024, Проиграли","6.8","118,29"
"Вал ч.41L2130.1","41L2130.1","ВТЗ","10.000","7.3","40Х","446.67","61.19","55.25","Жуков Евгений Александрович","21.02.2024, Проиграли","73","42,83"
"Вал заканцовочный ч.ВК/9М-17.01.600.01","ВК/9М-17.01.600.01","СБМ Сервисный центр","4.000","7.8","45","33.33","4.27","4.27","Солнышкин Дмитрий Сергеевич","27.08.2025, Отказ от сделки","31.2","1,18"
"Вал заканцовочный ч.ВК/9М-17.01.600.01","ВК/9М-17.01.600.01","СБМ Сервисный центр","6.000","7.8","45","26.00","3.33","3.33","Солнышкин Дмитрий Сергеевич","09.06.2025, Выиграли","46.8","1,18"
"Вал заканцовочный ч.ВК/9М-17.01.600.01","ВК/9М-17.01.600.01","СБМ Сервисный центр","8.000","7.8","45","750.43","96.21","96.21","Солнышкин Дмитрий Сергеевич","20.01.2023, Выиграли","62.4","19,24"
"Вал ч.596-05-02-03-И2","596-05-02-03-И2","РЗОЦМ","1.000","8","40Х","1,500.00","187.50","187.50","Зырянов Олег Юрьевич","13.02.2024, Выиграли","8","50,00"
"Вал шестерня ч.ZQ203-089 (01.02-20)","ZQ203-089 (01.02-20)","Октябрьское УБР","3.000","8","","1,700.00","212.50","212.50","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","24","102,50"
"Вал шлицевой ZQ203-126 (01.02-13)","ZQ203-126 (01.02-13)","Октябрьское УБР","2.000","8","","960.00","120.00","120.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","16","58,75"
"Вал червячного редуктора ч.П-109-1","П-109-1","ТАГМЕТ","16.000","8.43","45","661.50","78.47","78.47","Валитов Рамиль Амирханович","27.03.2024, Выиграли","134.88","44,84"
"Вал червячного редуктора ч.П-109-1","П-109-1","ТАГМЕТ","16.000","8.43","45","957.93","113.63","","Валитов Рамиль Амирханович","27.03.2024, Выиграли","134.88",""
"Вал ч.402-0-29 ПЗ","402-0-29 ПЗ","ИСО ООО","68.000","9.75","45","682.00","69.95","69.95","Левичев Никита Сергеевич","28.08.2025, Подались","663","31,79"
"Вал ч.ВДП1.011.09.00.00.00.03","ВДП1.011.09.00.00.00.03","АВИСМА ВСМПО","2.000","10","45","930.00","93.00","48.00","Жуков Евгений Александрович","03.03.2025, Отменен","20","25,00"
"Вал ч.РК002.55.111.05.0118","РК002.55.111.05.0118","ПромСорт-Калуга","2.000","10.28","40ХН","2,420.00","235.41","235.41","Диденко Виталий Тимофеевич","10.10.2025, Подались","20.56","107,00"
"Вал шестерня ч.05.491.001","05.491.001","КраМЗ","2.000","10.5","40Х","1,250.00","119.05","119.05","Коновалов Данила Евгеньевич","30.01.2025, Проиграли","21","50,00"
"Вал шестерня со шлицами ч.05.491.003 Б","05.491.003 Б","КраМЗ","1.000","10.9","40Х","1,300.00","119.27","119.27","Коновалов Данила Евгеньевич","30.01.2025, Проиграли","10.9","50,00"
"Вал 2 ч.Э-403518-9","Э-403518-9","ТАГМЕТ","2.000","11.5","Ст.35","918.30","79.85","79.85","Валитов Рамиль Амирханович","21.02.2024, Выиграли","23",""
"Вал 2 ч.Э-403518-9","Э-403518-9","ТАГМЕТ","2.000","11.5","Ст.35","920.00","80.00","80.00","Валитов Рамиль Амирханович","27.03.2024, Выиграли","23","39,13"
"Вал рабочий Ø35 ч.3675А-05.00","3675А-05.00","ММК-ЛМЗ","30.000","11.6","Cr2","1,375.00","118.53","82.97","Лебедев Станислав Артурович","09.07.2025, Проиграли","348","47,41"
"Вал ч.ОМ.1814","ОМ.1814","КАМА ТД","8.000","11.9","45","350.00","29.41","29.41","Ряхимов Али Рафикович","15.01.2024, Выиграли","95.2","189,08"
"Вал полый ч.КП140 -331-007","КП140-331-007","Морпорт СПб","3.000","12","45А","5,000.00","416.67","416.67","Магомедова Эльмира Гасановна","16.04.2025, Не участвовали","36","75,00"
"Вал ч.Н13.171.01.008","Н13.171.01.008","УРАЛХИМ ОХК филиал КЧХК","6.000","12","1Cr18Ni11Ti","2,000.00","166.67","166.67","Нюняев Василий Евгеньевич","12.11.2024, Проиграли","72","54,17"
"Вал ч.Н13.195.01.008","Н13.195.01.008","УРАЛХИМ ОХК филиал КЧХК","10.000","12","1Cr18Ni11Ti","1,700.00","141.67","141.67","Нюняев Василий Евгеньевич","12.11.2024, Проиграли","120","54,17"
"Вал шестерня ч.1080.28.02","1080.28.02","РУСАЛ АЧИНСК","4.000","12","20Х2Н4А","1,320.00","110.00","82.50","Зырянов Олег Юрьевич","02.11.2024, Проиграли","48","50,00"
"Вал входной ч.0404001-50869.00.01","0404001-50869.00.01","ВМЗ","1.000","12.27","18ХГТ","3,960.00","322.74","322.74","Солнышкин Дмитрий Сергеевич","01.12.2023, Выиграли","12.27","1 543,95"
"Вал шестерня z=20; m=5 ч.732/VIс.п.","732/VIс.п.","Надеждинский МЗ","30.000","12.3","40Х","1,200.00","97.56","48.78","Зырянов Олег Юрьевич","24.12.2024, Выиграли частично","369","28,46"
"Вал ч.38.102.01.001А Р","38.102.01.001А Р","ТМК ТР","10.000","12.8","45","422.31","32.99","32.99","Ряхимов Али Рафикович","20.02.2024, Выиграли","128","18,33"
"Вал ч.153-03-02-02-01","153-03-02-02-01","РУСАЛ Урал - филиал РУСАЛ Волгоград","2.000","13","40Х","457.60","35.20","32.00","Коновалов Данила Евгеньевич","06.10.2025, Подались","26","16,00"
"Вал ч.153-03-02-02-01","153-03-02-02-01","РУСАЛ Урал - филиал РУСАЛ Волгоград","2.000","13","40Х","540.00","41.54","41.54","Зырянов Олег Юрьевич","25.01.2024, Проиграли","26","20,77"
"Вал верхний ч.П8-2982","П8-2982","ММК","27.000","13.2","40Х","858.00","65.00","50.00","Лебедев Станислав Артурович","06.10.2025, Подались","356.4","25,00"
"Вал нижний ч.П8-2981","П8-2981","ММК","28.000","13.2","40Х","858.00","65.00","50.00","Лебедев Станислав Артурович","06.10.2025, Подались","369.6","25,00"
"Вал ч.ОМ.1813И","ОМ.1813И","КАМА ТД","8.000","13.67","45","380.00","27.80","27.80","Ряхимов Али Рафикович","15.01.2024, Выиграли","109.36","186,54"
"Вал ч.ТО2-5-29/6","ТО2-5-29/6","СТЗ","","13.7","45","","","","","15.02.2023, Не участвовали","13.7",""
"Вал ч.П158.06.407.У","П158.06.407.У","Орский Машиностроительный Завод","1.000","14","45","10,002.03","714.43","714.43","Григорян Саркис Владимирович","10.10.2023, Выиграли","14","3,05"
"Вал шестерня ч.05.491.002","05.491.002","КраМЗ","1.000","14","40Х","1,680.00","120.00","120.00","Коновалов Данила Евгеньевич","30.01.2025, Проиграли","14","50,00"
"Вал карданный ч.ЛПК 8.263106.N","ЛПК 8.263106.N","ВМЗ","1.000","14.2","СБ","7,500.00","528.17","528.17","Солнышкин Дмитрий Сергеевич","11.07.2025, Проиграли","14.2","246,48"
